n
"(:Estudio {título: Ingeniería de Software,idEstudio: 1})"
"(:Estudio {título: Medicina,idEstudio: 2})"
"(:Estudio {título: Arquitectura,idEstudio: 3})"
"(:Estudio {título: Psicología,idEstudio: 4})"
"(:Estudio {título: Derecho,idEstudio: 5})"
"(:Estudio {título: Biología,idEstudio: 6})"
"(:Estudio {título: Ciencias de la Comunicación,idEstudio: 7})"
"(:Estudio {título: Economía,idEstudio: 8})"
"(:Estudio {título: Administración de Empresas,idEstudio: 9})"
"(:Estudio {título: Física,idEstudio: 10})"
"(:Estudio {título: Matemáticas,idEstudio: 11})"
"(:Estudio {título: Química,idEstudio: 12})"
"(:Estudio {título: Historia del Arte,idEstudio: 13})"
"(:Estudio {título: Ingeniería Civil,idEstudio: 14})"
"(:Estudio {título: Educación,idEstudio: 15})"
"(:Estudio {título: Antropología,idEstudio: 16})"
"(:Estudio {título: Enfermería,idEstudio: 17})"
"(:Estudio {título: Contabilidad,idEstudio: 18})"
"(:Estudio {título: Marketing,idEstudio: 19})"
"(:Estudio {título: Filosofía,idEstudio: 20})"
