n
"(:Ciudad {país: España,nombre: Madrid,idCiudad: 1})"
"(:Ciudad {país: Francia,nombre: París,idCiudad: 2})"
"(:Ciudad {país: Reino Unido,nombre: Londres,idCiudad: 3})"
"(:Ciudad {país: Alemania,nombre: Berlín,idCiudad: 4})"
"(:Ciudad {país: Italia,nombre: Roma,idCiudad: 5})"
"(:Ciudad {país: Países Bajos,nombre: Ámsterdam,idCiudad: 6})"
"(:Ciudad {país: Portugal,nombre: Lisboa,idCiudad: 7})"
"(:Ciudad {país: Austria,nombre: Viena,idCiudad: 8})"
"(:Ciudad {país: Suecia,nombre: Estocolmo,idCiudad: 9})"
"(:Ciudad {país: Dinamarca,nombre: Copenhague,idCiudad: 10})"
"(:Ciudad {país: Bélgica,nombre: Bruselas,idCiudad: 11})"
"(:Ciudad {país: Irlanda,nombre: Dublín,idCiudad: 12})"
"(:Ciudad {país: Noruega,nombre: Oslo,idCiudad: 13})"
"(:Ciudad {país: Finlandia,nombre: Helsinki,idCiudad: 14})"
"(:Ciudad {país: Grecia,nombre: Atenas,idCiudad: 15})"
"(:Ciudad {país: Hungría,nombre: Budapest,idCiudad: 16})"
"(:Ciudad {país: República Checa,nombre: Praga,idCiudad: 17})"
"(:Ciudad {país: Polonia,nombre: Varsovia,idCiudad: 18})"
"(:Ciudad {país: Bulgaria,nombre: Sofía,idCiudad: 19})"
"(:Ciudad {país: Rumanía,nombre: Bucarest,idCiudad: 20})"
"(:Ciudad {país: COLOMBIA,nombre: CALI,idCiudad: 26})"
