n
"(:Categoría {idCategoria: 1,nombre: Tecnología})"
"(:Categoría {idCategoria: 2,nombre: Accesorios})"
"(:Categoría {idCategoria: 3,nombre: Mobiliario})"
"(:Categoría {idCategoria: 4,nombre: Electrodomésticos})"
"(:Categoría {idCategoria: 5,nombre: Hogar})"
"(:Categoría {idCategoria: 6,nombre: Juguetes})"
"(:Categoría {idCategoria: 7,nombre: Herramientas})"
"(:Categoría {idCategoria: 8,nombre: Ropa})"
"(:Categoría {idCategoria: 9,nombre: Calzado})"
"(:Categoría {idCategoria: 10,nombre: Deportes})"
"(:Categoría {idCategoria: 11,nombre: Libros})"
"(:Categoría {idCategoria: 12,nombre: Jardinería})"
"(:Categoría {idCategoria: 13,nombre: Alimentos})"
"(:Categoría {idCategoria: 14,nombre: Bebidas})"
"(:Categoría {idCategoria: 15,nombre: Electrónica})"
"(:Categoría {idCategoria: 16,nombre: Oficina})"
"(:Categoría {idCategoria: 17,nombre: Belleza})"
"(:Categoría {idCategoria: 18,nombre: Salud})"
"(:Categoría {idCategoria: 19,nombre: Mascotas})"
"(:Categoría {idCategoria: 20,nombre: Automotriz})"
