n
"(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})"
"(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})"
"(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})"
"(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})"
"(:Producto {precio: 50.0,idProducto: 5,nombre: Teclado})"
"(:Producto {precio: 25.0,idProducto: 6,nombre: Ratón})"
"(:Producto {precio: 60.0,idProducto: 7,nombre: Auriculares})"
"(:Producto {precio: 150.0,idProducto: 8,nombre: Impresora})"
"(:Producto {precio: 500.0,idProducto: 9,nombre: Cámara})"
"(:Producto {precio: 200.0,idProducto: 10,nombre: Smartwatch})"
"(:Producto {precio: 75.0,idProducto: 11,nombre: Altavoz Bluetooth})"
"(:Producto {precio: 100.0,idProducto: 12,nombre: Disco Duro Externo})"
"(:Producto {precio: 80.0,idProducto: 13,nombre: Router WiFi})"
"(:Producto {precio: 15.0,idProducto: 14,nombre: USB 64GB})"
"(:Producto {precio: 120.0,idProducto: 15,nombre: Silla de Oficina})"
"(:Producto {precio: 200.0,idProducto: 16,nombre: Escritorio})"
"(:Producto {precio: 100.0,idProducto: 17,nombre: Microondas})"
"(:Producto {precio: 600.0,idProducto: 18,nombre: Refrigerador})"
"(:Producto {precio: 80.0,idProducto: 19,nombre: Cafetera})"
"(:Producto {precio: 1000.0,idProducto: 20,nombre: Televisión})"
"(:Producto {precio: 350,idProducto: 23,nombre: Lampara})"
